CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
789303599,12-30-2015,17:00:00,12-30-2015,17:10:00,12-30-2015,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,40,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,1007037,235669,40.81351157,-73.91768104,"(40.813511574, -73.917681039)"
142455879,12-30-2015,17:00:00,,,12-30-2015,105,ROBBERY,382,"ROBBERY,NECKCHAIN/JEWELRY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,72,FRONT OF,STREET,986613,181457,40.66474217,-73.9914839,"(40.664742167, -73.991483901)"
827798390,12-30-2015,17:00:00,12-30-2015,17:05:00,12-30-2015,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,75,INSIDE,RESIDENCE - PUBLIC HOUSING,1017482,180449,40.66191339,-73.8802202,"(40.661913385, -73.880220199)"
577567107,12-30-2015,17:00:00,12-30-2015,17:10:00,12-30-2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,STORE UNCLASSIFIED,994072,149467,40.57693115,-73.96464413,"(40.57693115, -73.964644128)"
922479644,12-30-2015,17:00:00,12-30-2015,17:00:00,12-30-2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",ATTEMPTED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,OTHER,998616,232309,40.80430701,-73.94810996,"(40.804307011, -73.94810996)"
387816675,12-30-2015,17:00:00,12-30-2015,17:20:00,12-30-2015,109,GRAND LARCENY,410,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,72,INSIDE,DEPARTMENT STORE,981144,174000,40.6442741,-74.01119373,"(40.644274097, -74.011193729)"
866011862,12-30-2015,17:00:00,12-30-2015,18:00:00,12-30-2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE - APT. HOUSE,998374,170344,40.63422844,-73.9491141,"(40.634228443, -73.949114104)"
555054641,12-30-2015,17:00:00,12-30-2015,17:05:00,12-30-2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,33,,STREET,1000008,244063,40.83656605,-73.94305431,"(40.836566051, -73.943054313)"
275293068,12-30-2015,17:00:00,,,12-30-2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,47,INSIDE,RESIDENCE - APT. HOUSE,1021262,256474,40.87056702,-73.86617699,"(40.870567022, -73.866176986)"
898095787,12-30-2015,16:58:00,12-30-2015,17:10:00,12-30-2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,33,INSIDE,RESIDENCE - APT. HOUSE,1001540,244426,40.83755952,-73.93751695,"(40.837559515, -73.937516953)"
370683340,12-30-2015,16:50:00,12-30-2015,16:52:00,12-30-2015,109,GRAND LARCENY,433,"LARCENY,GRAND FROM STORE-SHOPL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,61,INSIDE,CLOTHING/BOUTIQUE,995218,160787,40.60800094,-73.96050038,"(40.608000938, -73.960500375)"
115536730,12-30-2015,16:50:00,,,12-30-2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,TELECOMM. STORE,986454,213102,40.75160026,-73.99204667,"(40.751600255, -73.992046671)"
899613993,12-30-2015,16:45:00,12-30-2015,17:21:00,12-30-2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,INSIDE,DEPARTMENT STORE,1006539,244510,40.83777887,-73.91945075,"(40.837778868, -73.919450746)"
606528089,12-30-2015,16:45:00,12-30-2015,16:45:00,12-30-2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,45,INSIDE,DEPARTMENT STORE,1030990,255310,40.86732605,-73.83101161,"(40.867326052, -73.831011607)"
767953765,12-30-2015,16:45:00,12-30-2015,16:55:00,12-30-2015,109,GRAND LARCENY,443,"LARCENY,GRAND OF BICYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9,INSIDE,STREET,986718,205163,40.7298096,-73.99109674,"(40.729809601, -73.991096741)"
717605737,12-30-2015,16:40:00,12-30-2015,16:50:00,12-30-2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,108,INSIDE,COMMERCIAL BUILDING,1009487,213664,40.75310707,-73.90891282,"(40.753107065, -73.908912824)"
169350060,12-30-2015,16:40:00,12-30-2015,16:45:00,12-30-2015,109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,FRONT OF,BUS STOP,962600,171205,40.6365765,-74.07800695,"(40.636576503, -74.078006945)"
317930750,12-30-2015,16:40:00,12-30-2015,16:50:00,12-30-2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,48,,GAS STATION,1016029,252049,40.85844214,-73.88511893,"(40.858442136, -73.885118929)"
413672320,12-30-2015,16:40:00,12-30-2015,18:10:00,12-30-2015,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,42,OPPOSITE OF,STREET,1011178,243438,40.83482361,-73.90269008,"(40.834823614, -73.902690079)"
650739718,12-30-2015,16:35:00,12-30-2015,16:38:00,12-30-2015,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,49,FRONT OF,OTHER,1021090,249013,40.85008956,-73.86683989,"(40.850089561, -73.866839894)"
